"I_INDEX","VEHICLE_ID","VEHICLE_TYPE","TTC","ING_ACCELERAION","HANDLE_ANGLE","C_SEQ","LATITUDE","LONGITUDE","C_TIMESTAMP","INTER_VEHICLE_DISTANCE","SPEED","LATERAL_ACCELERATION","WIPER_STATUS","MDPS_ANGLE","DRIVING_DISTANCE","EMERGENCY_LIGHT","WHEEL_SPEED","AUTO_DRIVING_STATUS","TRANSMISSION","V_TIMESTAMP","TURN_SIGNAL","YAW_RATE","BRAKING_STATUS","BRAKING_TYPE","SENSOR_TYPE","S_TIMESTAMP","SENSOR_STATUS","SENSOR_ID","GOAL_LONGITUDE","J_SEQ","MOTION_PLAN","GOAL_SPEED","TARGET_OBJ_SPEED","TARGET_OBJ_PREDICT","TARGET_OBJ","GOAL_ACCELERATION","TARGET_OBJ_DISTANCE","J_TIMESTAMP","GOAL_LATITUDE","GOAL_WHEEL_ANGLE","L_LATITUDE","L_TIMESTAMP","L_SPEED","HEADING","L_LONGITUDE","LANE","OBSTACLE_ARR","TRAFFIC_LIGHT_ARR","T_TIMESTAMP","TRAFFIC_LIGHT_ID","TRAFFIC_LIGHT","OBSTACLE_WIDTH","OBSTACLE_LNG_SPEED","OBSTACLE_ID","OBSTACLE_LATERAL_ABS_SPEED","O_TIMESTAMP","OBSTACLE_DISTANCE","OBSTACLE_HEADING","OBSTACLE_LATERAL_SPEED","OBSTACLE_LNG_ABS_SPEED","OBSTACLE_TYPE","REGIST_DATE","REAL_DIV","ARRIVAL_NAME","ARRIVAL_DISTANCE","ARRIVAL_TIME","ARRIVAL_ID","GEAR_STATUS","BRAKE_STATUS","LOAD_CAPACITY","BATTERY_REMAINING_CAPACITY","BATTERY_VOLTAGE","BATTERY_TEMPERATURE","BRAKE","BRAKE_TYPE","ACCEL","WORK_RATE"
14740,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.03",,,,,,,"0",,"2025-05-22 14:42:44.657587",,,,,,,,,,,,,,,,,,,,,,,,"93.66",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14741,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.03",,,,,,,"0",,"2025-05-22 14:42:45.664946",,,,,,,,,,,,,,,,,,,,,,,,"93.66",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14742,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.04",,,,,,,"0",,"2025-05-22 14:42:46.675831",,,,,,,,,,,,,,,,,,,,,,,,"93.65",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14743,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.08",,,,,,,"0",,"2025-05-22 14:42:47.689357",,,,,,,,,,,,,,,,,,,,,,,,"93.65",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14744,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.05",,,,,,,"0",,"2025-05-22 14:42:48.715578",,,,,,,,,,,,,,,,,,,,,,,,"93.66",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14745,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.05",,,,,,,"0",,"2025-05-22 14:42:49.721613",,,,,,,,,,,,,,,,,,,,,,,,"93.66",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14746,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.06",,,,,,,"0",,"2025-05-22 14:42:50.737582",,,,,,,,,,,,,,,,,,,,,,,,"93.65",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14747,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.05",,,,,,,"0",,"2025-05-22 14:42:51.748702",,,,,,,,,,,,,,,,,,,,,,,,"93.65",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14748,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.05",,,,,,,"0",,"2025-05-22 14:42:52.760581",,,,,,,,,,,,,,,,,,,,,,,,"93.65",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
14749,TRAC000001,T,,,,,"36.466375","127.075636",,,"0.03",,,,,,,"0",,"2025-05-22 14:42:53.766579",,,,,,,,,,,,,,,,,,,,,,,,"93.65",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,
