"I_INDEX","VEHICLE_ID","VEHICLE_TYPE","TTC","ING_ACCELERAION","HANDLE_ANGLE","C_SEQ","LATITUDE","LONGITUDE","C_TIMESTAMP","INTER_VEHICLE_DISTANCE","SPEED","LATERAL_ACCELERATION","WIPER_STATUS","MDPS_ANGLE","DRIVING_DISTANCE","EMERGENCY_LIGHT","WHEEL_SPEED","AUTO_DRIVING_STATUS","TRANSMISSION","V_TIMESTAMP","TURN_SIGNAL","YAW_RATE","BRAKING_STATUS","BRAKING_TYPE","SENSOR_TYPE","S_TIMESTAMP","SENSOR_STATUS","SENSOR_ID","GOAL_LONGITUDE","J_SEQ","MOTION_PLAN","GOAL_SPEED","TARGET_OBJ_SPEED","TARGET_OBJ_PREDICT","TARGET_OBJ","GOAL_ACCELERATION","TARGET_OBJ_DISTANCE","J_TIMESTAMP","GOAL_LATITUDE","GOAL_WHEEL_ANGLE","L_LATITUDE","L_TIMESTAMP","L_SPEED","HEADING","L_LONGITUDE","LANE","OBSTACLE_ARR","TRAFFIC_LIGHT_ARR","T_TIMESTAMP","TRAFFIC_LIGHT_ID","TRAFFIC_LIGHT","OBSTACLE_WIDTH","OBSTACLE_LNG_SPEED","OBSTACLE_ID","OBSTACLE_LATERAL_ABS_SPEED","O_TIMESTAMP","OBSTACLE_DISTANCE","OBSTACLE_HEADING","OBSTACLE_LATERAL_SPEED","OBSTACLE_LNG_ABS_SPEED","OBSTACLE_TYPE","REGIST_DATE","REAL_DIV","ARRIVAL_NAME","ARRIVAL_DISTANCE","ARRIVAL_TIME","ARRIVAL_ID","GEAR_STATUS","BRAKE_STATUS","LOAD_CAPACITY","BATTERY_REMAINING_CAPACITY","BATTERY_VOLTAGE","BATTERY_TEMPERATURE","BRAKE","BRAKE_TYPE","ACCEL","WORK_RATE"
20568,STSW000001,S,,,,,"36.4985455687319","127.3270768751987",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:42.580904","1","2.4424711227766238e-05",,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:42",,,,,,"3","1",,,,,"1.5",,"0.0",
20569,STSW000001,S,,,,,"36.49854553027859","127.32707688116244",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:43.582940","1",-0.0022994112223386765,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:43",,,,,,"3","1",,,,,"1.5",,"0.0",
20570,STSW000001,S,,,,,"36.49854553596678","127.32707689637705",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:44.584974","1",-0.0018195939483121037,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:44",,,,,,"3","1",,,,,"1.5",,"0.0",
20571,STSW000001,S,,,,,"36.49854555023102","127.32707689526812",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:45.586898","1","0.0002524124283809215",,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:45",,,,,,"3","1",,,,,"1.5",,"0.0",
20572,STSW000001,S,,,,,"36.49854556699204","127.32707688812786",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:46.590215","1","0.000525103707332164",,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:46",,,,,,"3","1",,,,,"1.5",,"0.0",
20573,STSW000001,S,,,,,"36.49854561090426","127.32707689183357",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:47.592087","1",-0.0010953975142911077,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:47",,,,,,"3","1",,,,,"1.5",,"0.0",
20574,STSW000001,S,,,,,"36.49854556280537","127.32707693564038",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:48.592879","1","5.720722037949599e-05",,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:48",,,,,,"3","1",,,,,"1.5",,"0.0",
20575,STSW000001,S,,,,,"36.49854557908334","127.32707687039441",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:49.594887","1","0.0032430756837129593",,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:49",,,,,,"3","1",,,,,"1.5",,"0.0",
20576,STSW000001,S,,,,,"36.498545570021115","127.32707688531639",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:50.596925","1","0.0028914082795381546",,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:50",,,,,,"3","1",,,,,"1.5",,"0.0",
20577,STSW000001,S,,,,,"36.49854559689906","127.32707686137141",,,"0.0",,,"18.0","0.01","1","0.0","1",,"2025-05-29 14:40:51.598920","1",-0.0007064772653393447,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,"2025-05-29 14:40:51",,,,,,"3","1",,,,,"1.5",,"0.0",
