Interface,Receive Bytes,Receive Packets,Receive Errs,Receive Drop,Receive Fifo,Receive Frame,Receive Compressed,Receive Multicast,Transmit Bytes,Transmit Packets,Transmit Errs,Transmit Drop,Transmit Fifo,Transmit Colls,Transmit Carrier,Transmit Compressed
lo,102199206931,128171973,0,0,0,0,0,0,102199206931,128171973,0,0,0,0,0,0
eth0,191680824607,318705142,0,0,0,0,0,0,29349340064303,27049849205,0,0,0,0,0,0
cni-podman0,29565562306,2849264,0,0,0,0,0,0,2066867274,4088155,0,0,0,0,0,0
tunl0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vxlan.calico,21229044044,14329522,0,0,0,0,0,0,6221356107,16520850,0,0,0,0,0,0
kube-ipvs0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calia64e2b074a9,23872,254,0,0,0,0,0,0,30276,248,0,0,0,0,0,0
cali72529db1202,2388157469,7717801,0,0,0,0,0,0,11303938188,9328122,0,0,0,0,0,0
cali13ea2903c0e,93044108,1059679,0,0,0,0,0,0,100397366,1115522,0,0,0,0,0,0
calic39f4031869,3505802217,5639063,0,0,0,0,0,0,3290768745,4809977,0,0,0,0,0,0
cali9b9fc2c638b,1857786992,3222486,0,0,0,0,0,0,3075659755,3236293,0,0,0,0,0,0
cali6f417c9cf90,309105573,746851,0,0,0,0,0,0,101113349,743243,0,0,0,0,0,0
cali7b777ba0fc0,12404292,104187,0,0,0,0,0,0,89287079,85888,0,0,0,0,0,0
cali608295ca688,13678627,143723,0,0,0,0,0,0,13065650,145974,0,0,0,0,0,0
cali9677c0f527f,102444840,828008,0,0,0,0,0,0,374348450,534632,0,0,0,0,0,0
